# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1067
#@/user_id	fwar34_rime_sync
sheng cheng 	生成	c=6 d=0.843425 t=1067
sheng ming 	聲明	c=5 d=0.844342 t=1067
shi 	是	c=9 d=1.74536 t=1067
shi 	時	c=9 d=2.90889 t=1067
shi bie 	識別	c=1 d=0.113608 t=1067
shi fou 	是否	c=2 d=0.98108 t=1067
shi hou 	時候	c=7 d=2.9459 t=1067
shi hou zai qu 	時候再去	c=1 d=0.0816756 t=1067
shi xian 	實現	c=1 d=0.154124 t=1067
shi yong 	使用	c=14 d=1.87894 t=1067
shi yong han shu 	使用函數	c=1 d=0.591555 t=1067
shu ju 	數據	c=1 d=0.436049 t=1067
shu ju ku 	數據庫	c=1 d=0.427415 t=1067
shu ru 	輸入	c=0 d=0.0970446 t=1067
shu ru de 	輸入的	c=0 d=0.0951229 t=1067
shu xian 	豎線	c=1 d=0.226502 t=1067
shu zi 	數字	c=1 d=0.0547488 t=1067
shuo hua 	說話	c=1 d=0.408608 t=1067
si 	死	c=2 d=0.79077 t=1067
si xun huan 	死循環	c=1 d=0.470011 t=1067
suo jin 	縮進	c=1 d=0.224249 t=1067
suo yi 	所以	c=4 d=1.49412 t=1067
suo you 	所有	c=1 d=0.0710054 t=1067
ta 	它	c=1 d=0.138761 t=1067
te se 	特色	c=1 d=0.965605 t=1067
ti gong 	提供	c=3 d=1.15778 t=1067
tian jia 	添加	c=1 d=0.0746459 t=1067
tong bu 	同步	c=10 d=3.27697 t=1067
tong bu dao 	同步到	c=1 d=0.0415857 t=1067
tong guo 	通過	c=3 d=1 t=1067
tong shi 	同時	c=3 d=1.24447 t=1067
tong yi 	同一	c=1 d=0.104935 t=1067
tong yi bao 	同一包	c=1 d=0.582748 t=1067
tu pian 	圖片	c=5 d=1.00908 t=1067
tui chu 	推出	c=1 d=0.748264 t=1067
tui chu 	退出	c=2 d=0.752014 t=1067
wai hu 	外呼	c=4 d=1.11469 t=1067
wan cheng 	完成	c=1 d=0.752014 t=1067
wan hu 	萬戶	c=1 d=0.355226 t=1067
wang luo 	網絡	c=1 d=0.207008 t=1067
wei 	未	c=0 d=0.106621 t=1067
wei 	爲	c=10 d=5.35723 t=1067
wei bian hua 	未變化	c=1 d=0.650509 t=1067
wei le 	爲了	c=1 d=0.112478 t=1067
wei shi yong 	未使用	c=1 d=0.421052 t=1067
wen jian 	文件	c=13 d=1.84342 t=1067
wen jian jia 	文件夾	c=1 d=0.0948935 t=1067
wen ti 	問題	c=1 d=0.0385808 t=1067
wo 	我	c=0 d=0.11519 t=1067
wo bu zhi dao 	我不知道	c=1 d=0.690734 t=1067
wo hen 	喔很	c=1 d=0.941765 t=1067
wo hen hao de 	我很好的	c=2 d=1.79187 t=1067
wo zhai chao de 	我摘抄的	c=1 d=0.640824 t=1067
wo zhi 	我只	c=0 d=0.0786628 t=1067
wo zhi da ou 	我只打偶	c=2 d=1.58909 t=1067
wo zhi dao 	我知道	c=0 d=0.0826959 t=1067
wo zhi dao de 	我知道的	c=6 d=2.63845 t=1067
wu xian 	無限	c=1 d=0.474734 t=1067
xia 	下	c=4 d=1.4511 t=1067
xia mian 	下面	c=5 d=2.32852 t=1067
xia zai 	下載	c=3 d=0.460314 t=1067
xian 	先	c=1 d=0.3741 t=1067
xian deng ji miao 	先等幾秒	c=1 d=0.687289 t=1067
xian hai 	陷害	c=1 d=0.254107 t=1067
xian shi 	顯示	c=2 d=0.448503 t=1067
xian zai 	現在	c=1 d=0.255381 t=1067
xiang dui 	相對	c=1 d=0.268474 t=1067
xiao xi 	消息	c=2 d=1.41301 t=1067
xiao xie 	小寫	c=6 d=2.8453 t=1067
xiao xie 	消協	c=1 d=0.491644 t=1067
xie cheng 	協程	c=1 d=0.276651 t=1067
xin dao 	信道	c=2 d=1.43448 t=1067
xin de 	新的	c=3 d=1.4634 t=1067
xin jian 	新建	c=3 d=1.92197 t=1067
xin lao 	新老	c=1 d=0.778801 t=1067
xin ling 	信令	c=1 d=0.392586 t=1067
xin ling 	心靈	c=1 d=0.390628 t=1067
xin xi 	信息	c=2 d=0.119556 t=1067
xing neng 	性能	c=1 d=0.0381969 t=1067
xiu gai 	修改	c=1 d=0.0728029 t=1067
xu qiu 	需求	c=1 d=0.955997 t=1067
xu yao 	需要	c=3 d=0.380433 t=1067
xuan xiang 	選項	c=0 d=0.00685632 t=1067
xun huan 	循環	c=1 d=0.62386 t=1067
xun huan qie pian 	循環切片	c=1 d=0.479505 t=1067
xun huan yu ju 	循環語句	c=1 d=0.477114 t=1067
xun zhao 	尋找	c=0 d=0.0400517 t=1067
ya yi 	壓抑	c=1 d=0.261846 t=1067
yan chi 	延遲	c=1 d=0.287941 t=1067
ye 	也	c=1 d=0.0468877 t=1067
ye zhi 	也只	c=1 d=0.240508 t=1067
yi 	一	c=1 d=0.0963276 t=1067
yi ban 	一般	c=2 d=0.169598 t=1067
yi chang 	一場	c=1 d=0.489192 t=1067
yi ge 	一個	c=1 d=0.173774 t=1067
yi jing 	已經	c=1 d=0.323033 t=1067
yi lai 	依賴	c=2 d=1.04203 t=1067
yi wei zhe 	意味着	c=0 d=0.0105399 t=1067
yi xie 	一些	c=1 d=0.0898153 t=1067
yin wei 	因爲	c=1 d=0.431711 t=1067
yin yong 	引用	c=3 d=1.90327 t=1067
yin yong jie gou ti 	引用結構體	c=1 d=0.501576 t=1067
yong 	用	c=3 d=1.4327 t=1067
yong bu dao 	用不到	c=0 d=0.0438235 t=1067
yong hu 	用戶	c=12 d=5.74621 t=1067
yong lai 	用來	c=1 d=0.331211 t=1067
you 	又	c=1 d=1 t=1056
you 	有	c=2 d=0.134236 t=1067
you 	由	c=1 d=0.826959 t=1067
you hua 	優化	c=1 d=0.524663 t=1067
you yu 	由於	c=1 d=0.97531 t=1067
yu 	與	c=1 d=1 t=1051
yu ju 	語句	c=2 d=0.987504 t=1067
yu zeng 	預增	c=0 d=0.0045275 t=1067
yuan cheng 	遠程	c=1 d=0.205975 t=1067
yuan you 	原有	c=2 d=1.0602 t=1067
zai 	再	c=2 d=0.690734 t=1067
zai 	在	c=11 d=1.69246 t=1067
zai qu 	再去	c=0 d=0.00812682 t=1067
zai zhong duan 	在終端	c=1 d=1 t=1049
zang chai ao 	髒拆奧	c=1 d=0.0397558 t=1067
ze 	則	c=2 d=0.199664 t=1067
zeng jia 	增加	c=1 d=0.451581 t=1067
zeng jia zhi 	增加值	c=1 d=0.449329 t=1067
zhai chao 	摘抄	c=0 d=0.0637628 t=1067
zhe 	這	c=0 d=0.0105399 t=1067
zhe ge 	這個	c=2 d=0.955997 t=1067
zhe ge shi 	這個事	c=1 d=0.169483 t=1067
zhe li 	這裏	c=6 d=1.06471 t=1067
zhe yang 	這樣	c=2 d=1.00017 t=1067
zhe yi wei zhe 	這意味着	c=1 d=0.105928 t=1067
zhen zheng 	真正	c=0 d=0.00804596 t=1067
zhen zheng shi yong 	真正使用	c=1 d=0.0808629 t=1067
zhi 	值	c=9 d=4.23425 t=1067
zhi 	只	c=1 d=0.847894 t=1067
zhi 	指	c=1 d=0.980199 t=1067
zhi chi 	支持	c=1 d=0.246597 t=1067
zhi chuan di 	值傳遞	c=1 d=0.535261 t=1067
zhi da 	直達	c=0 d=0.0822835 t=1067
zhi da ou 	直達偶	c=2 d=1.41672 t=1067
zhi dao 	知道	c=2 d=1.12779 t=1067
zhi dao de 	知道的	c=1 d=0.873716 t=1067
zhi dao le 	知道了	c=1 d=0.037068 t=1067
zhi ding 	制定	c=1 d=0.212248 t=1067
zhi ding 	指定	c=1 d=0.214381 t=1067
zhi hou 	之後	c=2 d=0.779602 t=1067
zhi jie 	直接	c=4 d=0.743701 t=1067
zhi neng zai 	只能在	c=1 d=0.579842 t=1067
zhi qian 	之前	c=1 d=0.410656 t=1067
zhi xing 	執行	c=1 d=0.412714 t=1067
zhi zai 	只在	c=1 d=0.106459 t=1067
zhong 	中	c=5 d=1.14544 t=1067
zhong duan 	終端	c=0 d=0.1 t=1048
zhong guo 	中國	c=2 d=1.84163 t=1067
zhu chi ren 	主持人	c=1 d=1 t=1067
zhu shi 	註釋	c=2 d=0.180567 t=1067
zhu ye 	主頁	c=2 d=0.368118 t=1067
zhu yi 	注意	c=1 d=0.111917 t=1067
zhuang tai 	狀態	c=5 d=0.722579 t=1067
zhui jia 	追加	c=1 d=0.132655 t=1067
zhuo dao 	捉到	c=0 d=0.0927743 t=1067
zi dong 	自動	c=3 d=0.390865 t=1067
zi fu 	字符	c=3 d=0.179161 t=1067
zi ji 	自己	c=1 d=0.153355 t=1067
zi ti 	字體	c=1 d=0.238115 t=1067
zi wo 	自我	c=8 d=3.03518 t=1067
zi you 	自由	c=1 d=0.900325 t=1067
zuo 	做	c=2 d=0.111074 t=1067
